generation,,A1,A2,,N1,N2,,sp1_p1,sp1_p1sd,sp1_t1,sp1_t1sd,sp1_q1,sp1_q1sd,,sp2_p1,sp2_p1sd,sp2_t1,sp2_t1sd,sp2_q1,sp2_q1sd,,sp1sp1, sp1sp2, sp2sp2, sp2sp1,hybrid,,BDM_0,BDM_1,BDM_2,BDM_3,BDM_4,BDM_5,BDM_6,BDM_7,BDM_8,BDM_9,BDM_10,BDM_11,BDM_12,BDM_13,BDM_14,BDM_15,BDM_16,BDM_17,BDM_18,BDM_19,,hy_0,hy_1,hy_2,hy_3,hy_4,hy_5,hy_6,hy_7,hy_8,hy_9,hy_10,hy_11,hy_12,hy_13,hy_14,hy_15,hy_16,hy_17,hy_18,hy_19,,p1_0,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p1_11,p1_12,p1_13,p1_14,p1_15,p1_16,p1_17,p1_18,p1_19,,t1_0,t1_1,t1_2,t1_3,t1_4,t1_5,t1_6,t1_7,t1_8,t1_9,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t1_18,t1_19,,signal1_p1,signal1_p1sd,signal1_t1,signal1_t1sd, signal1_r{p_t}, signal1_r{bdm_p}, signal1_r{bdm_t}, signal1_Mean_p_mother,signal1_ sd_p_mother, signal1_Mean_t_father,signal1_ sd_t_father, signal1_r{p_mother_t_father},,,
15250,,0.242905,-0.233938,,7153,7190,,0.526468,0.0716871,3.28035,0.145608,0.118272,0.337535,,0.507034,0.0710258,3.18807,0.156751,0.12128,0.354827,,7096,98,7108,71,627,,0,0,0.000133333,0,0.000133333,0,0.000533333,0.0044,0.0226667,0.206933,0.8224,0.977067,0.997467,0.9996,1,1,1,1,1,1,,0,0,0.00133333,0,0.00133333,0,0.004,0.0146667,0.0733333,0.356,0.325333,0.0826667,0.0133333,0.004,0,0,0,0,0,0,,0.519767,0.514667,0.526167,0.531867,0.532467,0.527033,0.527667,0.5263,0.531533,0.519933,0.504567,0.509233,0.5079,0.514067,0.515167,0.5128,0.505933,0.502567,0.5021,0.497333,,3.2794,3.278,3.2898,3.2884,3.2888,3.2806,3.2692,3.2724,3.2754,3.2412,3.1742,3.1532,3.1782,3.2028,3.197,3.1998,3.1964,3.1882,3.1914,3.2086,,0.516453,0.0719707,3.23265,0.15908,0.0595358,-0.132563,-0.286156,0.516135,0.0714105,3.23356,0.15683,0.0733312,,0.120333,0.120387
15500,,0.244883,-0.243123,,7210,7179,,0.519109,0.0727236,3.27836,0.132902,0.118585,0.341452,,0.515378,0.074134,3.18402,0.147086,0.118262,0.341941,,7130,91,7130,87,562,,0,0,0,0,0,0,0.000133333,0.00306667,0.0225333,0.174,0.798933,0.983733,0.996533,0.999733,1,1,1,0.999867,1,1,,0,0,0,0,0,0,0.00133333,0.016,0.0693333,0.305333,0.332,0.068,0.0186667,0.00266667,0,0,0,0.00133333,0,0,,0.5102,0.5159,0.506067,0.508933,0.517033,0.516967,0.5329,0.5311,0.528533,0.520367,0.505233,0.489633,0.497033,0.5043,0.511367,0.516533,0.522567,0.5304,0.5361,0.541333,,3.2556,3.2622,3.2714,3.274,3.2882,3.2952,3.2732,3.289,3.287,3.2676,3.1794,3.1618,3.1594,3.1638,3.1728,3.184,3.1978,3.2154,3.2078,3.217,,0.517125,0.073347,3.23113,0.148426,0.0509477,-0.0271749,-0.313893,0.519275,0.0732628,3.23054,0.14663,0.0712442,,0.118,0.116209
15750,,0.211251,-0.210089,,7147,7217,,0.512963,0.0746408,3.25469,0.118505,0.12103,0.347956,,0.510143,0.0729864,3.17232,0.138132,0.119994,0.345378,,7073,99,7149,82,597,,0.000133333,0,0,0,0,0,0.000133333,0.00453333,0.0310667,0.1872,0.829067,0.981067,0.996667,1,1,1,1,1,1,1,,0.00133333,0,0,0,0,0,0.00133333,0.016,0.0933333,0.341333,0.298667,0.0733333,0.0226667,0,0,0,0,0,0,0,,0.528467,0.515567,0.519367,0.515867,0.519233,0.514367,0.504433,0.500333,0.507767,0.5052,0.519767,0.5287,0.525367,0.5076,0.5048,0.507667,0.501967,0.498267,0.5051,0.504133,,3.2904,3.2914,3.2704,3.2456,3.2534,3.2354,3.2374,3.2444,3.2386,3.2236,3.1782,3.1726,3.186,3.1824,3.1668,3.1782,3.1656,3.1624,3.1666,3.171,,0.511698,0.0739641,3.21302,0.135656,0.032717,-0.0171595,-0.298697,0.510535,0.0741624,3.21145,0.13453,0.0504029,,0.122067,0.122633
16000,,-0.229991,0.238246,,7155,7200,,0.506754,0.0747783,3.15673,0.130126,0.109574,0.326576,,0.524941,0.0726405,3.2475,0.161806,0.115556,0.340925,,7090,102,7141,86,581,,0,0.000133333,0,0,0.000133333,0,0.000533333,0.00466667,0.0225333,0.190667,0.823067,0.977867,0.998133,0.9996,1,1,1,0.999867,1,1,,0,0.00133333,0,0,0.00133333,0,0.00533333,0.0253333,0.0826667,0.344,0.321333,0.064,0.00933333,0.004,0,0,0,0.00133333,0,0,,0.526867,0.517033,0.511567,0.502133,0.497633,0.501267,0.5097,0.503067,0.504033,0.491,0.504267,0.523133,0.5159,0.5179,0.519533,0.524567,0.5212,0.5386,0.5376,0.536867,,3.1862,3.1912,3.1832,3.172,3.1602,3.1428,3.1388,3.1308,3.1322,3.1274,3.1778,3.2184,3.225,3.2438,3.2478,3.2452,3.266,3.2748,3.263,3.2756,,0.515193,0.074388,3.20011,0.153651,0.0698757,0.120375,0.290199,0.514103,0.0746939,3.20079,0.154178,0.118611,,0.112133,0.111159
16250,,0.132557,-0.131712,,7193,7216,,0.521698,0.0760855,3.23904,0.135265,0.119144,0.345754,,0.518372,0.0772336,3.18823,0.151842,0.115022,0.340237,,7121,109,7152,63,555,,0,0,0,0,0,0.000133333,0.000133333,0.00346667,0.0313333,0.176667,0.814,0.985467,0.997733,0.999867,1,0.999867,1,1,1,0.999867,,0,0,0,0,0,0.00133333,0.00133333,0.0133333,0.0853333,0.314667,0.301333,0.0506667,0.016,0.00133333,0,0.00133333,0,0,0,0.00133333,,0.549,0.535233,0.528633,0.521167,0.522567,0.513867,0.5165,0.5115,0.509033,0.5058,0.507233,0.517133,0.518367,0.517033,0.5181,0.521467,0.522267,0.515333,0.521633,0.524433,,3.2586,3.2566,3.236,3.2492,3.237,3.2428,3.2452,3.2178,3.2238,3.2074,3.1812,3.1644,3.1714,3.1656,3.1814,3.1942,3.2024,3.2108,3.2102,3.2028,,0.519815,0.0766887,3.21294,0.146135,0.0325552,-0.0199133,-0.172216,0.520397,0.0767011,3.21001,0.143824,0.0741286,,0.117133,0.11768
16500,,0.0790357,-0.0782411,,7165,7231,,0.529867,0.0767886,3.26617,0.129295,0.127844,0.354001,,0.52454,0.0755818,3.23634,0.152708,0.118656,0.340261,,7095,76,7185,106,538,,0,0,0,0,0,0,0.0004,0.00346667,0.0253333,0.1968,0.830933,0.981867,0.9976,0.999467,1,1,0.9996,1,1,1,,0,0,0,0,0,0,0.00266667,0.0186667,0.076,0.344,0.292,0.0533333,0.012,0.00266667,0,0,0.004,0,0,0,,0.5147,0.524467,0.527,0.5345,0.5373,0.534767,0.535933,0.532633,0.531567,0.523767,0.5151,0.5184,0.512367,0.527567,0.535,0.534967,0.533,0.529333,0.520067,0.519267,,3.2408,3.2604,3.2582,3.2658,3.2782,3.2734,3.273,3.2766,3.2652,3.2578,3.2154,3.2192,3.2332,3.2562,3.2134,3.2268,3.217,3.2376,3.2662,3.2804,,0.527085,0.0763421,3.25074,0.142704,0.0483699,-0.0352411,-0.103562,0.527412,0.0779587,3.25004,0.141329,0.0606957,,0.123467,0.120756
16750,,0.320895,-0.305872,,7171,7210,,0.538286,0.0750097,3.31506,0.11776,0.111142,0.324996,,0.513086,0.0794783,3.19583,0.147227,0.115811,0.340777,,7127,93,7132,105,543,,0,0,0,0,0,0.000133333,0.000266667,0.00186667,0.0264,0.197867,0.821067,0.976533,0.999067,1,1,1,1,1,1,1,,0,0,0,0,0,0.00133333,0.00266667,0.00933333,0.084,0.330667,0.316,0.0746667,0.00666667,0,0,0,0,0,0,0,,0.5468,0.539767,0.5362,0.539133,0.5447,0.544133,0.5292,0.529067,0.538667,0.527633,0.5119,0.518933,0.529933,0.520933,0.5117,0.506433,0.505967,0.508467,0.507933,0.510633,,3.3162,3.322,3.3214,3.3338,3.3164,3.3092,3.3146,3.3062,3.2994,3.292,3.2308,3.2276,3.2412,3.2266,3.188,3.1904,3.1864,3.1744,3.1644,3.1528,,0.525407,0.0783523,3.25569,0.146602,0.0799427,-0.157324,-0.39928,0.52402,0.0788006,3.25606,0.144285,0.106615,,0.114867,0.112606
17000,,0.224544,-0.216176,,7145,7177,,0.529808,0.0772979,3.31266,0.111021,0.109307,0.329266,,0.510063,0.0787988,3.22789,0.153006,0.118713,0.339179,,7087,105,7105,98,605,,0,0,0,0,0.000133333,0.000133333,0.000266667,0.00266667,0.028,0.1988,0.811333,0.975733,0.9984,1,1,1,1,1,1,1,,0,0,0,0,0.00133333,0.00133333,0.00266667,0.016,0.0866667,0.365333,0.341333,0.08,0.00933333,0,0,0,0,0,0,0,,0.537933,0.5346,0.528833,0.5179,0.5254,0.5265,0.529467,0.5316,0.5348,0.528267,0.517333,0.521333,0.513,0.5173,0.505567,0.508933,0.500167,0.504,0.5117,0.509833,,3.3166,3.3256,3.3228,3.3264,3.3182,3.3188,3.3096,3.3074,3.2862,3.2708,3.2546,3.229,3.2124,3.2216,3.2208,3.1994,3.221,3.2194,3.247,3.2656,,0.520223,0.0786555,3.26966,0.140693,0.0644143,-0.125234,-0.294978,0.519463,0.0790048,3.26992,0.139593,0.0702005,,0.113267,0.110971
17250,,0.459906,-0.438601,,7148,7176,,0.512528,0.0803291,3.2659,0.105345,0.11108,0.327529,,0.488786,0.0802895,3.08643,0.118497,0.122631,0.346765,,7093,101,7129,84,593,,0,0,0,0,0,0,0.00106667,0.00266667,0.0254667,0.187067,0.822667,0.972267,0.996267,0.999867,1,1,1,1,0.999867,1,,0,0,0,0,0,0,0.00933333,0.0213333,0.0866667,0.362667,0.322667,0.0826667,0.0133333,0.00133333,0,0,0,0,0.00133333,0,,0.5447,0.530967,0.511233,0.506033,0.506633,0.512133,0.503233,0.501133,0.497867,0.498467,0.476633,0.476167,0.4832,0.488167,0.493133,0.498233,0.4888,0.493933,0.491867,0.496833,,3.2848,3.285,3.2842,3.2772,3.2706,3.2588,3.2472,3.2422,3.2448,3.223,3.1116,3.0956,3.0878,3.0964,3.0824,3.0796,3.0706,3.0794,3.1046,3.0954,,0.499968,0.0813175,3.17606,0.142835,0.11008,-0.144163,-0.616234,0.49899,0.0824852,3.17663,0.142124,0.136985,,0.1166,0.113671
17500,,0.535238,-0.504466,,7127,7216,,0.516245,0.0773184,3.25841,0.110764,0.113652,0.334395,,0.486565,0.0819193,3.05105,0.101501,0.122644,0.355791,,7056,92,7165,77,610,,0,0,0,0,0.000133333,0,0.000133333,0.002,0.0192,0.221733,0.820667,0.974667,0.997467,1,1,1,0.999733,0.999867,1,1,,0,0,0,0,0.00133333,0,0.00133333,0.0106667,0.0666667,0.396,0.324,0.064,0.008,0,0,0,0.00266667,0.00133333,0,0,,0.5249,0.513733,0.524967,0.5253,0.522033,0.521233,0.502667,0.505433,0.505233,0.501533,0.479,0.464,0.478467,0.489733,0.486767,0.492767,0.485033,0.490433,0.499633,0.502867,,3.2852,3.2748,3.2632,3.2524,3.2522,3.2534,3.2618,3.2582,3.2388,3.1864,3.0854,3.0596,3.0506,3.052,3.0594,3.0436,3.0458,3.0398,3.0496,3.0586,,0.500787,0.081009,3.15354,0.147375,0.149385,-0.180117,-0.690544,0.500918,0.0807864,3.15492,0.147254,0.174299,,0.118,0.118876
17750,,0.583471,-0.510587,,7192,7214,,0.523245,0.0778102,3.25764,0.101814,0.106507,0.323233,,0.457884,0.0804246,3.03462,0.0918128,0.127114,0.355056,,7125,77,7158,84,556,,0,0,0,0,0,0,0.000266667,0.000666667,0.0264,0.179467,0.8356,0.9792,0.996533,0.999867,1,1,1,1,1,1,,0,0,0,0,0,0,0.00266667,0.00666667,0.0853333,0.310667,0.305333,0.0653333,0.0146667,0.00133333,0,0,0,0,0,0,,0.512233,0.519467,0.515333,0.514967,0.513467,0.5214,0.5351,0.536733,0.5334,0.5247,0.490733,0.4734,0.4626,0.463533,0.4596,0.453167,0.451567,0.450533,0.443533,0.446667,,3.2598,3.2792,3.2522,3.2514,3.2556,3.2622,3.2622,3.2512,3.2492,3.214,3.0942,3.0732,3.0642,3.039,3.0468,3.0286,3.0138,3.0136,3.0142,3.0066,,0.491107,0.0854249,3.14656,0.146715,0.306522,-0.376003,-0.746654,0.492078,0.0854973,3.14637,0.144718,0.309262,,0.1162,0.114831
18000,,0.909748,-0.763254,,7191,7193,,0.512599,0.0780944,3.24579,0.10895,0.113058,0.334392,,0.430057,0.0796966,2.89083,0.136963,0.131517,0.360033,,7125,97,7138,86,554,,0,0,0,0,0,0,0.000266667,0.00253333,0.0236,0.181733,0.826,0.978133,0.996667,0.999733,1,1,1,1,1,1,,0,0,0,0,0,0,0.00133333,0.012,0.08,0.318667,0.321333,0.0706667,0.0146667,0.00266667,0,0,0,0,0,0,,0.520167,0.521267,0.515233,0.508933,0.4964,0.509567,0.510933,0.524933,0.512167,0.4788,0.423267,0.416433,0.424433,0.417067,0.4428,0.445967,0.4376,0.434633,0.4375,0.431267,,3.2612,3.2458,3.261,3.2528,3.2366,3.2356,3.246,3.2534,3.2268,3.1632,2.9532,2.9042,2.8924,2.895,2.8882,2.8906,2.9,2.8806,2.8722,2.892,,0.470468,0.0888055,3.06754,0.2144,0.394609,-0.458358,-0.81511,0.4708,0.0881024,3.06242,0.215223,0.387924,,0.121733,0.120114
18250,,1.04989,-0.899457,,7186,7236,,0.513206,0.0766022,3.23836,0.114039,0.119399,0.337505,,0.43967,0.0794148,2.82921,0.159971,0.128386,0.359796,,7108,103,7173,83,533,,0.000133333,0,0.000266667,0,0.000133333,0,0,0.0028,0.0233333,0.188133,0.831733,0.978933,0.9976,0.999867,1,0.999867,1,1,1,1,,0.00133333,0,0.00266667,0,0.00133333,0,0,0.0146667,0.0853333,0.308,0.269333,0.0693333,0.016,0.00133333,0,0.00133333,0,0,0,0,,0.5116,0.515633,0.514833,0.5199,0.513467,0.505033,0.504433,0.510967,0.516267,0.4998,0.439167,0.419733,0.4352,0.438433,0.443233,0.439367,0.438033,0.451133,0.452433,0.452333,,3.2558,3.2614,3.2668,3.2548,3.2548,3.2356,3.2166,3.2112,3.2022,3.1332,2.8964,2.8368,2.8394,2.8196,2.816,2.8068,2.8038,2.8332,2.8422,2.8662,,0.47605,0.0862031,3.03264,0.245297,0.360397,-0.422872,-0.821816,0.474982,0.0877147,3.03499,0.245734,0.380936,,0.124733,0.122775
18500,,0.857515,-0.756565,,7148,7186,,0.497115,0.077617,3.14864,0.136559,0.121153,0.356427,,0.438592,0.0800675,2.80364,0.1827,0.13248,0.361807,,7068,92,7104,76,660,,0,0,0,0,0,0.000133333,0.0008,0.00546667,0.0268,0.1952,0.821733,0.974933,0.997467,0.999333,0.999867,1,0.999867,1,1,1,,0,0,0,0,0,0.00133333,0.00533333,0.0226667,0.088,0.354667,0.318667,0.0733333,0.0146667,0.00666667,0.00133333,0,0.00133333,0,0,0,,0.498033,0.501233,0.5033,0.501833,0.492367,0.496233,0.4907,0.488233,0.4944,0.491567,0.458533,0.444333,0.4417,0.434467,0.429667,0.436867,0.444733,0.4366,0.440233,0.4352,,3.1712,3.1526,3.168,3.161,3.155,3.1474,3.1314,3.1344,3.1198,3.0694,2.9104,2.8376,2.8188,2.785,2.7934,2.7904,2.798,2.8024,2.7856,2.7916,,0.468012,0.0839997,2.97617,0.234091,0.261294,-0.343747,-0.723864,0.46764,0.0837247,2.97213,0.23708,0.292131,,0.126267,0.128323
18750,,1.13318,-0.948928,,7188,7187,,0.516479,0.0774451,3.16534,0.138836,0.119366,0.340746,,0.4325,0.0823073,2.72653,0.204775,0.128148,0.360875,,7131,85,7114,96,574,,0,0,0,0,0,0,0.000266667,0.00133333,0.0241333,0.1732,0.814933,0.980533,0.999467,1,0.999867,0.999733,1,1,0.999867,1,,0,0,0,0,0,0,0.00266667,0.00666667,0.08,0.328,0.329333,0.076,0.00533333,0,0.00133333,0.00266667,0,0,0.00133333,0,,0.5301,0.526867,0.5204,0.512833,0.503433,0.503167,0.5113,0.520567,0.519033,0.504167,0.458933,0.4312,0.433767,0.434167,0.443833,0.4284,0.431167,0.4239,0.432467,0.426733,,3.1928,3.2014,3.1738,3.158,3.139,3.1564,3.1506,3.1598,3.152,3.0876,2.8178,2.7298,2.7264,2.7308,2.7092,2.6984,2.702,2.7242,2.7552,2.7572,,0.474822,0.0899408,2.94612,0.278361,0.377312,-0.459285,-0.77657,0.475217,0.0894918,2.94793,0.280238,0.407424,,0.124667,0.123658
19000,,0.921365,-0.815397,,7186,7197,,0.519809,0.0831912,3.23139,0.159661,0.12079,0.348779,,0.460025,0.0814903,2.87689,0.17474,0.124218,0.352397,,7139,85,7127,99,550,,0,0,0,0,0,0,0.000133333,0.00186667,0.0266667,0.168133,0.822,0.9752,0.9972,0.999867,0.9996,1,1,1,1,1,,0,0,0,0,0,0,0.00133333,0.0146667,0.0813333,0.306667,0.324,0.0773333,0.012,0.00133333,0.004,0,0,0,0,0,,0.558533,0.5401,0.536833,0.521067,0.519033,0.502767,0.501567,0.505033,0.498133,0.512767,0.4734,0.467333,0.451033,0.456233,0.460467,0.457033,0.466,0.4651,0.459233,0.451967,,3.2856,3.2774,3.2826,3.2392,3.2162,3.2062,3.2018,3.2014,3.1966,3.1378,2.9648,2.9044,2.9006,2.8652,2.872,2.8678,2.8508,2.869,2.8654,2.877,,0.490182,0.0875113,3.05409,0.241646,0.270128,-0.338195,-0.720706,0.488982,0.087142,3.05165,0.24164,0.30355,,0.1228,0.122787
19250,,0.948235,-0.841155,,7183,7180,,0.517719,0.0785383,3.24147,0.145766,0.121676,0.350544,,0.459255,0.0825948,2.87515,0.167454,0.119359,0.341165,,7132,97,7100,81,590,,0,0.000266667,0,0,0,0.000133333,0,0.0052,0.0289333,0.1768,0.814933,0.981333,0.9972,0.999467,1,1,1,1,1,1,,0,0.00266667,0,0,0,0.00133333,0,0.016,0.084,0.312,0.326667,0.0866667,0.0146667,0.00533333,0,0,0,0,0,0,,0.5174,0.520667,0.525133,0.517133,0.519067,0.517833,0.5134,0.5217,0.508067,0.503133,0.456667,0.4446,0.4448,0.459567,0.454,0.466033,0.4689,0.476267,0.4687,0.462433,,3.2644,3.2808,3.2684,3.2608,3.2446,3.2388,3.2216,3.2128,3.1996,3.1354,2.9214,2.8616,2.8488,2.8646,2.8832,2.894,2.8876,2.8876,2.885,2.8828,,0.488275,0.0855637,3.05719,0.239294,0.278612,-0.338051,-0.753815,0.487555,0.08621,3.05667,0.240562,0.296316,,0.1208,0.119674
19500,,0.67313,-0.637329,,7192,7200,,0.504557,0.0795774,3.21297,0.139963,0.117214,0.335429,,0.477722,0.0796317,2.94615,0.150218,0.121944,0.349191,,7126,94,7116,62,602,,0,0.000133333,0.000266667,0,0,0,0.000933333,0.000933333,0.0229333,0.1812,0.8268,0.9824,0.9992,1,1,1,1,1,1,1,,0,0.00133333,0.00266667,0,0,0,0.004,0.008,0.0666667,0.322667,0.344,0.0586667,0.00266667,0,0,0,0,0,0,0,,0.511367,0.5157,0.516233,0.512933,0.508867,0.5018,0.498133,0.489467,0.496767,0.490033,0.478467,0.483667,0.477567,0.484367,0.4774,0.464333,0.469333,0.478833,0.4807,0.486467,,3.2498,3.2568,3.24,3.205,3.2022,3.2024,3.2038,3.1728,3.1962,3.148,2.9738,2.9304,2.9198,2.9232,2.9266,2.946,2.9626,2.9686,2.9842,2.9662,,0.491122,0.0806322,3.07892,0.196402,0.141632,-0.163694,-0.671014,0.492595,0.0814895,3.07706,0.197845,0.167075,,0.1196,0.117029
19750,,0.131141,-0.131753,,7166,7205,,0.474062,0.0793701,3.052,0.159918,0.130198,0.357239,,0.476273,0.0819905,2.99667,0.120224,0.140458,0.368965,,7111,96,7136,78,579,,0,0,0,0,0,0,0.000666667,0.00266667,0.0244,0.194667,0.833333,0.982,0.997467,0.999867,1,1,1,1,1,1,,0,0,0,0,0,0,0.00533333,0.016,0.0786667,0.328,0.317333,0.084,0.008,0.00133333,0,0,0,0,0,0,,0.478433,0.473733,0.473633,0.471833,0.4764,0.472133,0.474767,0.472033,0.4741,0.472267,0.467233,0.4588,0.463367,0.477267,0.4753,0.475467,0.478033,0.485033,0.491367,0.4867,,3.0478,3.053,3.056,3.022,3.0488,3.0238,3.0624,3.075,3.0768,3.0506,3.029,2.9984,2.9866,2.9892,2.9942,2.9976,3.0012,3,2.9864,3.0002,,0.474895,0.0808014,3.02495,0.144986,0.029054,0.0125074,-0.188135,0.476107,0.0807364,3.02427,0.142998,0.0526967,,0.1338,0.130431
20000,,-0.0972255,0.0990712,,7194,7222,,0.462295,0.0831166,2.95634,0.162361,0.121212,0.341972,,0.471071,0.0827143,2.9984,0.104902,0.12545,0.354841,,7136,87,7161,82,534,,0,0,0,0,0,0.000133333,0.000133333,0.00266667,0.0241333,0.182267,0.832667,0.9792,0.9976,0.9996,1,1,1,1,1,1,,0,0,0,0,0,0.00133333,0.00133333,0.0146667,0.0813333,0.314667,0.281333,0.0613333,0.0186667,0.004,0,0,0,0,0,0,,0.468767,0.465633,0.4576,0.467467,0.467567,0.457867,0.459267,0.466467,0.453767,0.4579,0.466467,0.473867,0.480933,0.485933,0.4738,0.468933,0.465667,0.474467,0.4646,0.455233,,2.9574,2.9494,2.957,2.9586,2.957,2.9724,2.9498,2.9392,2.958,2.9756,3.0044,3.0004,3.0028,3.0178,3.0204,3.0008,2.9914,2.9844,2.9788,2.9752,,0.46661,0.082957,2.97754,0.138854,0.0248773,0.0539732,0.151229,0.46532,0.0817958,2.97601,0.136773,0.0511533,,0.1238,0.122207
20250,,-0.0444921,0.0445557,,7171,7218,,0.468833,0.0823045,2.91602,0.155,0.127151,0.353097,,0.469503,0.0833282,2.935,0.13963,0.122195,0.348178,,7082,61,7158,70,629,,0,0,0.0004,0.000266667,0.0004,0,0,0.00186667,0.0245333,0.189733,0.828533,0.978,0.997733,0.999733,1,1,0.999867,1,0.999867,1,,0,0,0.004,0.00266667,0.004,0,0,0.0133333,0.0826667,0.318667,0.294667,0.0786667,0.012,0.00133333,0,0,0.00133333,0,0.00133333,0,,0.456633,0.460567,0.457767,0.464867,0.469733,0.4798,0.4783,0.476433,0.475167,0.470233,0.471667,0.466,0.475533,0.4702,0.4558,0.4625,0.464033,0.4717,0.4774,0.482267,,2.915,2.9286,2.925,2.909,2.9198,2.926,2.9108,2.9112,2.8996,2.9284,2.9628,2.9706,2.953,2.9308,2.9148,2.9288,2.9216,2.9182,2.9268,2.9302,,0.46933,0.0828287,2.92655,0.147583,0.0257106,0.0035829,0.0648877,0.46948,0.084645,2.92617,0.145652,0.0562067,,0.125333,0.123758
20500,,0.0248838,-0.0245186,,7198,7173,,0.496259,0.0827205,3.0026,0.136799,0.120589,0.349319,,0.488976,0.0833606,2.99258,0.116777,0.114875,0.334447,,7143,119,7109,91,538,,0,0,0,0,0.000133333,0.000266667,0.000266667,0.00213333,0.0229333,0.182667,0.796267,0.9768,0.998,0.9996,0.999867,0.999333,0.999733,1,1,1,,0,0,0,0,0.00133333,0.00266667,0.00266667,0.012,0.08,0.312,0.326667,0.0826667,0.00533333,0.00266667,0.00133333,0.00666667,0.00266667,0,0,0,,0.494133,0.489067,0.483867,0.4969,0.501367,0.506633,0.509433,0.506433,0.485733,0.483867,0.4845,0.486733,0.493633,0.483833,0.480067,0.484533,0.491167,0.4958,0.4941,0.495767,,2.9866,2.9748,2.9954,3.0028,2.9988,3.0108,3.0276,3.0172,3.0108,3.0052,2.9906,2.978,2.9974,2.993,3.0028,3.0066,2.991,2.9932,2.977,2.992,,0.492378,0.0830374,2.99758,0.12728,0.033192,-0.0430748,-0.0392527,0.490095,0.0826247,2.99741,0.127494,0.0526235,,0.1168,0.116224
20750,,-0.00301026,0.00304878,,7184,7191,,0.495041,0.0843792,3.0578,0.127832,0.118875,0.345082,,0.501377,0.0838377,3.05901,0.105542,0.120567,0.339998,,7122,108,7132,88,550,,0,0,0.000133333,0,0.000133333,0,0.00133333,0.00173333,0.0269333,0.179867,0.8152,0.974,0.998267,0.999733,1,1,1,1,1,1,,0,0,0.00133333,0,0.00133333,0,0.00533333,0.00933333,0.092,0.309333,0.318667,0.084,0.0106667,0.00133333,0,0,0,0,0,0,,0.4969,0.4932,0.491367,0.497767,0.4948,0.5029,0.500633,0.487067,0.5,0.488567,0.509533,0.5057,0.509833,0.500767,0.496333,0.503433,0.494233,0.494,0.4946,0.508167,,3.0526,3.049,3.0368,3.0558,3.0544,3.064,3.0602,3.0656,3.076,3.0636,3.0574,3.0568,3.0544,3.0616,3.0614,3.0598,3.0488,3.054,3.0622,3.0722,,0.49849,0.0842524,3.05833,0.117184,0.0190497,0.0384721,0.00559656,0.496363,0.0829037,3.06042,0.115089,0.0486284,,0.119933,0.117549
21000,,-0.060919,0.0614753,,7214,7214,,0.489933,0.085902,3.03057,0.100904,0.125589,0.353841,,0.494407,0.0813262,3.05543,0.0948216,0.123787,0.352672,,7144,83,7145,87,541,,0,0,0.000133333,0,0,0,0,0.0008,0.0186667,0.176267,0.8316,0.974,0.9972,1,1,0.999867,1,1,1,1,,0,0,0.00133333,0,0,0,0,0.004,0.0706667,0.302667,0.304,0.0706667,0.008,0,0,0.00133333,0,0,0,0,,0.475733,0.4841,0.4881,0.4959,0.487467,0.4856,0.5026,0.495467,0.4973,0.487333,0.4936,0.494967,0.500733,0.493267,0.483567,0.4988,0.4993,0.494333,0.4889,0.4961,,3.0516,3.0354,3.0272,3.0218,3.0326,3.0288,3.0296,3.0186,3.0306,3.0328,3.0366,3.0486,3.0538,3.0666,3.058,3.0626,3.0618,3.0564,3.0458,3.0538,,0.492158,0.0837355,3.04265,0.0979973,0.0154094,0.0256217,0.12396,0.492593,0.083335,3.04138,0.0977225,0.0348107,,0.1242,0.124241
21250,,-0.118765,0.121649,,7224,7192,,0.488808,0.0831023,3.02766,0.109026,0.117802,0.334801,,0.500678,0.0820198,3.07625,0.109826,0.120412,0.343523,,7153,59,7125,97,566,,0,0,0,0,0,0.000133333,0.000133333,0.0012,0.0137333,0.166267,0.817067,0.9764,0.997733,0.999467,0.999867,1,1,1,1,1,,0,0,0,0,0,0.00133333,0.00133333,0.0106667,0.0506667,0.3,0.329333,0.072,0.00666667,0.00533333,0.00133333,0,0,0,0,0,,0.485267,0.4957,0.4782,0.4791,0.482733,0.4909,0.488333,0.483133,0.4993,0.519533,0.509767,0.513667,0.504633,0.488933,0.487567,0.494867,0.492467,0.4956,0.504933,0.5154,,2.996,2.995,3.01,3.0264,3.019,3.037,3.0432,3.043,3.056,3.0668,3.0762,3.0586,3.0708,3.0658,3.085,3.0948,3.073,3.0784,3.073,3.086,,0.495502,0.08275,3.0527,0.111972,0.0390757,0.0686115,0.210832,0.494407,0.0829184,3.05182,0.109953,0.0594042,,0.119533,0.116045
